pos_id,lat,lon,cluster_id,cluster_size,density_type
0000000,43.4699391,-116.271908,-1,0,isolated
0000001,39.8993369,-82.9368686,0,32,dense_cluster
0000002,40.0538817,-76.29225280000001,45,9,small_cluster
0000003,42.0549778,-87.798206,-1,0,isolated
0000004,49.1714479,-122.6707722,-1,0,isolated
0000005,43.1738612,-89.81076689999999,-1,0,isolated
0000006,40.8046231,-81.5289572,-1,0,isolated
0000007,41.9201701,-88.03490479999999,1,70,dense_cluster
0000008,43.3491805,-73.5979988,-1,0,isolated
0000009,4.8318256,-75.68056779999999,-1,0,isolated
0000010,35.137546,-80.9837312,2,14,small_cluster
0000011,41.63783249999999,-93.5926507,3,17,small_cluster
0000012,32.5852527,-96.29961229999999,-1,0,isolated
0000013,25.8758163,-80.2610522,4,42,dense_cluster
0000014,42.3846245,-74.1235494,-1,0,isolated
0000015,44.7886661,-68.8343086,-1,0,isolated
0000016,39.6341115,-119.9124799,-1,0,isolated
0000017,34.0841093,-84.6582111,80,10,small_cluster
0000018,38.5294914,-90.01792660000001,-1,0,isolated
0000019,39.8568138,-86.4148766,-1,0,isolated
0000020,41.3126851,-75.76699889999999,5,9,small_cluster
0000021,30.7779681,-89.85692259999999,-1,0,isolated
0000022,34.0304371,-118.0299663,6,113,dense_cluster
0000023,53.3913463,-113.4927281,-1,0,isolated
0000024,43.7629595,-79.7997583,7,69,dense_cluster
0000025,33.5779387,-112.3901546,8,15,small_cluster
0000026,39.881863,-83.0581563,0,32,dense_cluster
0000027,39.9764148,-86.399485,9,8,small_cluster
0000028,32.842049,-97.35249800000001,10,27,dense_cluster
0000029,40.5117913,-74.30965499999999,11,66,dense_cluster
0000030,36.0369335,-80.1474597,12,7,small_cluster
0000031,35.2742064,-93.1047408,13,5,small_cluster
0000032,32.9044724,-96.88778599999999,14,89,dense_cluster
0000033,34.0574776,-117.5343582,15,87,dense_cluster
0000034,33.0840118,-96.8393949,-1,0,isolated
0000035,41.0949054,-74.01128,-1,0,isolated
0000036,43.6936306,-79.73671949999999,7,69,dense_cluster
0000037,33.0101891,-111.9952672,-1,0,isolated
0000038,34.1892786,-83.6468739,-1,0,isolated
0000039,33.9196887,-81.7418739,-1,0,isolated
0000040,41.1211226,-96.1347825,16,24,dense_cluster
0000041,33.0345164,-97.2554598,10,27,dense_cluster
0000042,44.7849197,-93.2749922,-1,0,isolated
0000043,51.0049808,-113.8848925,17,15,small_cluster
0000044,40.1992874,-76.9924245,18,13,small_cluster
0000045,35.3752545,-77.9251487,-1,0,isolated
0000046,37.9679388,-85.6913902,100,5,small_cluster
0000047,39.7992465,-75.9531848,-1,0,isolated
0000048,41.247287,-95.9409153,16,24,dense_cluster
0000049,34.0394913,-117.5138513,15,87,dense_cluster
0000050,52.4214068,-0.7786096,-1,0,isolated
0000051,42.3810016,-83.4833645,-1,0,isolated
0000052,32.7018422,-97.058692,14,89,dense_cluster
0000053,38.0363749,-97.8793031,-1,0,isolated
0000054,33.9604689,-117.6561601,15,87,dense_cluster
0000055,38.6969968,-121.3389733,-1,0,isolated
0000056,33.3442802,-111.8338184,153,5,small_cluster
0000057,32.9405385,-97.3164262,10,27,dense_cluster
0000058,35.9080365,-84.09059839999999,-1,0,isolated
0000059,52.0620391,-107.9779661,-1,0,isolated
0000060,30.2172836,-97.7652286,19,7,small_cluster
0000061,33.8165487,-118.3017449,6,113,dense_cluster
0000062,53.58184960000001,-2.2417757,-1,0,isolated
0000063,29.4086858,-98.5784566,-1,0,isolated
0000064,25.9393809,-80.1979365,4,42,dense_cluster
0000065,38.2217897,-85.256393,-1,0,isolated
0000066,34.2241071,-80.2325165,-1,0,isolated
0000067,33.8081169,-118.033605,6,113,dense_cluster
0000068,40.252844,-112.015764,-1,0,isolated
0000069,32.9884594,-96.93097449999999,14,89,dense_cluster
0000070,46.337365,-72.5739601,-1,0,isolated
0000071,40.7451879,-111.9420022,20,29,dense_cluster
0000072,29.52596969999999,-98.398918,21,15,small_cluster
0000073,39.5626586,-86.0563909,151,6,small_cluster
0000074,41.6947263,-88.0370575,22,24,dense_cluster
0000075,33.865877,-118.0265458,6,113,dense_cluster
0000076,38.1433804,-87.5524842,-1,0,isolated
0000077,43.2632841,-89.3266093,-1,0,isolated
0000078,43.2733013,-79.8510838,-1,0,isolated
0000079,40.030251,-83.1198285,23,6,small_cluster
0000080,40.0997371,-82.999799,-1,0,isolated
0000081,25.6901668,-80.392815,-1,0,isolated
0000082,39.1800416,-76.7162175,24,14,small_cluster
0000083,25.8675731,-80.3757445,4,42,dense_cluster
0000084,28.5464448,-81.65945119999999,-1,0,isolated
0000085,41.1554371,-96.1282325,16,24,dense_cluster
0000086,34.0381283,-117.6230832,15,87,dense_cluster
0000087,29.9212965,-95.6223342,25,32,dense_cluster
0000088,37.0763587,-80.7225227,-1,0,isolated
0000089,40.16691670000001,-74.75645519999999,26,44,dense_cluster
0000090,40.6007606,-79.7582279,-1,0,isolated
0000091,40.454198,-74.33312800000002,11,66,dense_cluster
0000092,32.4711117,-97.2761874,-1,0,isolated
0000093,34.0367197,-117.3843266,15,87,dense_cluster
0000094,28.4192057,-81.37649549999999,27,16,small_cluster
0000095,40.153082,-82.6707907,42,14,small_cluster
0000096,34.4478227,-118.6313712,-1,0,isolated
0000097,34.0399838,-117.9836669,6,113,dense_cluster
0000098,45.2341158,-74.0567062,-1,0,isolated
0000099,51.015754,-114.024915,17,15,small_cluster
0000100,33.8791216,-118.0109541,6,113,dense_cluster
0000101,41.8111978,-88.18853589999999,28,30,dense_cluster
0000102,42.530207,-113.8412288,-1,0,isolated
0000103,46.1756236,-94.1028554,-1,0,isolated
0000104,43.22963379999999,-88.1464809,29,8,small_cluster
0000105,45.3992766,-122.5354323,-1,0,isolated
0000106,35.325314,-80.84194389999999,30,12,small_cluster
0000107,33.8173448,-118.3017185,6,113,dense_cluster
0000108,35.8008508,-86.38803399999999,-1,0,isolated
0000109,42.4853825,-92.45872059999999,-1,0,isolated
0000110,39.9878656,-74.80889049999999,26,44,dense_cluster
0000111,31.5303866,-91.4275711,-1,0,isolated
0000112,45.96144510000001,-73.46883,99,5,small_cluster
0000113,41.11651940000001,-74.1200348,-1,0,isolated
0000114,33.4352107,-88.84201039999999,-1,0,isolated
0000115,32.4581913,-96.83240959999999,-1,0,isolated
0000116,34.1256409,-117.4024847,15,87,dense_cluster
0000117,33.0346377,-97.26468969999999,10,27,dense_cluster
0000118,36.07854,-79.93364439999999,31,5,small_cluster
0000119,38.1453126,-97.4356671,-1,0,isolated
0000120,34.083084,-117.2834764,15,87,dense_cluster
0000121,37.6297016,-122.1106097,32,6,small_cluster
0000122,34.060028,-117.5105073,15,87,dense_cluster
0000123,33.8238661,-81.6980136,-1,0,isolated
0000124,29.7689638,-96.1492591,-1,0,isolated
0000125,34.0019152,-83.76039360000001,-1,0,isolated
0000126,44.0293676,-116.9584536,-1,0,isolated
0000127,40.8953418,-74.7294924,-1,0,isolated
0000128,36.2929227,-78.6087635,-1,0,isolated
0000129,35.3347259,-79.9303758,-1,0,isolated
0000130,39.1674805,-94.43399699999999,33,29,dense_cluster
0000131,49.1611304,-123.0144975,34,11,small_cluster
0000132,41.057828,-76.2462333,-1,0,isolated
0000133,35.7703828,-80.31107569999999,-1,0,isolated
0000134,33.6835284,-117.3344067,-1,0,isolated
0000135,42.374432,-96.372672,-1,0,isolated
0000136,44.9101554,-123.0140978,35,6,small_cluster
0000137,33.42389650000001,-112.1581052,36,38,dense_cluster
0000138,43.66459200000001,-116.409689,-1,0,isolated
0000139,40.5258185,-79.6435571,-1,0,isolated
0000140,32.131393,-110.911662,134,5,small_cluster
0000141,29.4232747,-98.5972939,-1,0,isolated
0000142,43.5908091,-79.748786,7,69,dense_cluster
0000143,45.4871462,-73.6661398,37,14,small_cluster
0000144,43.6418536,-70.2799405,38,9,small_cluster
0000145,35.1309023,-80.9688266,2,14,small_cluster
0000146,38.5512338,-76.0620955,-1,0,isolated
0000147,36.2184304,-115.1950065,39,17,small_cluster
0000148,41.6842422,-88.0780334,22,24,dense_cluster
0000149,36.1944004,-94.11956280000001,-1,0,isolated
0000150,32.8092345,-96.6159045,40,13,small_cluster
0000151,37.9175762,-122.3405239,157,5,small_cluster
0000152,32.9509001,-96.8622271,14,89,dense_cluster
0000153,33.9119276,-84.2349552,41,13,small_cluster
0000154,40.0992308,-82.7263373,42,14,small_cluster
0000155,39.85858090000001,-82.83377349999999,0,32,dense_cluster
0000156,1.2872647,103.6357421,-1,0,isolated
0000157,33.0666482,-80.19103009999999,-1,0,isolated
0000158,38.6973571,-121.75975,43,8,small_cluster
0000159,25.7972638,-80.3085978,4,42,dense_cluster
0000160,35.4161624,-80.7112233,44,6,small_cluster
0000161,41.4969494,-81.65089909999999,-1,0,isolated
0000162,40.0878558,-76.3584359,45,9,small_cluster
0000163,29.45548149999999,-98.40886599999999,21,15,small_cluster
0000164,36.0422649,-86.65878769999999,46,13,small_cluster
0000165,21.4254191,-158.0000991,-1,0,isolated
0000166,42.0079872,-88.3032666,-1,0,isolated
0000167,42.9170068,-76.78608059999999,-1,0,isolated
0000168,38.3846756,-121.3535824,-1,0,isolated
0000169,39.896042,-83.052595,0,32,dense_cluster
0000170,33.8764798,-117.9709993,6,113,dense_cluster
0000171,40.3723154,-79.9453583,-1,0,isolated
0000172,38.8044704,-77.115257,-1,0,isolated
0000173,31.5828848,-84.0689357,-1,0,isolated
0000174,38.7583522,-90.4506227,47,15,small_cluster
0000175,27.3901793,-82.5031922,-1,0,isolated
0000176,40.5184105,-104.9894423,-1,0,isolated
0000177,42.4638093,-71.0267475,-1,0,isolated
0000178,38.2236258,-122.1316606,-1,0,isolated
0000179,43.5606361,-89.50294439999999,-1,0,isolated
0000180,41.0725154,-81.53612269999999,-1,0,isolated
0000181,35.316343,-80.8360958,30,12,small_cluster
0000182,34.0928281,-117.3818703,15,87,dense_cluster
0000183,40.1636469,-105.0382163,-1,0,isolated
0000184,42.28035939999999,-87.9396886,139,5,small_cluster
0000185,34.7706598,-92.24897750000001,-1,0,isolated
0000186,41.4159751,-84.095894,-1,0,isolated
0000187,26.1880122,-98.2344772,-1,0,isolated
0000188,39.7439405,-84.6366201,-1,0,isolated
0000189,41.9175182,-88.1191879,1,70,dense_cluster
0000190,41.6516592,-93.56502979999999,3,17,small_cluster
0000191,29.3577062,-100.9309044,-1,0,isolated
0000192,41.64934909999999,-93.5614149,3,17,small_cluster
0000193,41.872948,-72.71991560000001,-1,0,isolated
0000194,44.2613958,-88.364302,48,12,small_cluster
0000195,32.1785597,-81.1779282,131,7,small_cluster
0000196,45.8864039,-72.51635710000001,49,6,small_cluster
0000197,40.3463569,-111.7656214,50,6,small_cluster
0000198,40.3393527,-111.7542748,50,6,small_cluster
0000199,25.7917641,-80.3914382,4,42,dense_cluster
0000200,41.1318254,-80.70142369999999,-1,0,isolated
0000201,30.205331,-97.71764519999999,19,7,small_cluster
0000202,33.7070461,-117.9294827,6,113,dense_cluster
0000203,41.1029467,-81.4838843,-1,0,isolated
0000204,39.0024232,-95.2610296,-1,0,isolated
0000205,28.6775822,-100.4602948,-1,0,isolated
0000206,52.908218,-106.996565,-1,0,isolated
0000207,42.835701,-91.804737,-1,0,isolated
0000208,30.3351896,-97.6740566,-1,0,isolated
0000209,33.7665696,-84.6306587,51,24,dense_cluster
0000210,32.0449759,-81.07098110000001,-1,0,isolated
0000211,39.9080601,-86.2347233,52,7,small_cluster
0000212,43.65594830000001,-79.6999714,7,69,dense_cluster
0000213,32.7870943,-96.6741354,40,13,small_cluster
0000214,40.7139009,-73.9192289,11,66,dense_cluster
0000215,39.9941449,-82.85096279999999,0,32,dense_cluster
0000216,33.0176174,-96.714838,53,5,small_cluster
0000217,32.9902409,-96.9318466,14,89,dense_cluster
0000218,43.1877647,-79.83524249999999,-1,0,isolated
0000219,37.9997937,-122.3369357,157,5,small_cluster
0000220,34.0343849,-117.5101403,15,87,dense_cluster
0000221,33.6530859,-84.3853634,54,21,dense_cluster
0000222,40.8647459,-81.766583,-1,0,isolated
