category,density_type,n_pos_available,n_seed_used,search_dist,exclusion_buffer,n_candidates_kept,strategy_name,category_total_final_kept,category_seconds
fuel,isolated,2070,20,2500,1000,40,baseline_global,100,56.55932688713074
fuel,small_cluster,1138,15,2500,1000,30,baseline_global,100,56.55932688713074
fuel,dense_cluster,997,15,2500,1000,30,baseline_global,100,56.55932688713074
parking,isolated,2070,20,2500,1000,40,baseline_global,100,13.259758710861206
parking,small_cluster,1138,15,2500,1000,30,baseline_global,100,13.259758710861206
parking,dense_cluster,997,15,2500,1000,30,baseline_global,100,13.259758710861206
restaurant,isolated,2070,20,2500,1000,40,baseline_global,100,26.89289927482605
restaurant,small_cluster,1138,15,2500,1000,30,baseline_global,100,26.89289927482605
restaurant,dense_cluster,997,15,2500,1000,30,baseline_global,100,26.89289927482605
hospital,isolated,2070,20,2500,1000,10,baseline_global,30,102.80592203140259
hospital,small_cluster,1138,15,2500,1000,12,baseline_global,30,102.80592203140259
hospital,dense_cluster,997,15,2500,1000,8,baseline_global,30,102.80592203140259
hotel,isolated,2070,20,2500,1000,29,baseline_global,89,84.10929155349731
hotel,small_cluster,1138,15,2500,1000,30,baseline_global,89,84.10929155349731
hotel,dense_cluster,997,15,2500,1000,30,baseline_global,89,84.10929155349731
supermarket,isolated,2070,20,2500,1000,40,baseline_global,100,263.30706787109375
supermarket,small_cluster,1138,15,2500,1000,30,baseline_global,100,263.30706787109375
supermarket,dense_cluster,997,15,2500,1000,30,baseline_global,100,263.30706787109375
school,isolated,2070,20,2500,1000,40,baseline_global,100,125.78536605834961
school,small_cluster,1138,15,2500,1000,30,baseline_global,100,125.78536605834961
school,dense_cluster,997,15,2500,1000,30,baseline_global,100,125.78536605834961
park,isolated,2070,20,2500,1000,40,baseline_global,100,113.79543495178223
park,small_cluster,1138,15,2500,1000,30,baseline_global,100,113.79543495178223
park,dense_cluster,997,15,2500,1000,30,baseline_global,100,113.79543495178223
playground,isolated,2070,20,2500,1000,40,baseline_global,100,120.14726114273071
playground,small_cluster,1138,15,2500,1000,30,baseline_global,100,120.14726114273071
playground,dense_cluster,997,15,2500,1000,30,baseline_global,100,120.14726114273071
sports_centre,isolated,2070,20,2500,1000,20,baseline_global,80,151.9565622806549
sports_centre,small_cluster,1138,15,2500,1000,30,baseline_global,80,151.9565622806549
sports_centre,dense_cluster,997,15,2500,1000,30,baseline_global,80,151.9565622806549
fuel,isolated,2070,20,4000,900,40,density_v1,90,48.8524112701416
fuel,small_cluster,1138,15,2500,1100,30,density_v1,90,48.8524112701416
fuel,dense_cluster,997,15,1500,1500,20,density_v1,90,48.8524112701416
parking,isolated,2070,20,4000,900,40,density_v1,100,7.976356744766235
parking,small_cluster,1138,15,2500,1100,30,density_v1,100,7.976356744766235
parking,dense_cluster,997,15,1500,1500,30,density_v1,100,7.976356744766235
restaurant,isolated,2070,20,4000,900,40,density_v1,100,26.21248483657837
restaurant,small_cluster,1138,15,2500,1100,30,density_v1,100,26.21248483657837
restaurant,dense_cluster,997,15,1500,1500,30,density_v1,100,26.21248483657837
hospital,isolated,2070,20,4000,900,23,density_v1,36,191.81883120536804
hospital,small_cluster,1138,15,2500,1100,12,density_v1,36,191.81883120536804
hospital,dense_cluster,997,15,1500,1500,1,density_v1,36,191.81883120536804
hotel,isolated,2070,20,4000,900,40,density_v1,86,53.83543133735657
hotel,small_cluster,1138,15,2500,1100,30,density_v1,86,53.83543133735657
hotel,dense_cluster,997,15,1500,1500,16,density_v1,86,53.83543133735657
supermarket,isolated,2070,20,4000,900,40,density_v1,79,46.403002977371216
supermarket,small_cluster,1138,15,2500,1100,30,density_v1,79,46.403002977371216
supermarket,dense_cluster,997,15,1500,1500,9,density_v1,79,46.403002977371216
school,isolated,2070,20,4000,900,40,density_v1,89,61.22973132133484
school,small_cluster,1138,15,2500,1100,30,density_v1,89,61.22973132133484
school,dense_cluster,997,15,1500,1500,19,density_v1,89,61.22973132133484
park,isolated,2070,20,4000,900,40,density_v1,100,42.066118478775024
park,small_cluster,1138,15,2500,1100,30,density_v1,100,42.066118478775024
park,dense_cluster,997,15,1500,1500,30,density_v1,100,42.066118478775024
playground,isolated,2070,20,4000,900,40,density_v1,100,34.002405881881714
playground,small_cluster,1138,15,2500,1100,30,density_v1,100,34.002405881881714
playground,dense_cluster,997,15,1500,1500,30,density_v1,100,34.002405881881714
sports_centre,isolated,2070,20,4000,900,40,density_v1,79,60.81650185585022
sports_centre,small_cluster,1138,15,2500,1100,30,density_v1,79,60.81650185585022
