category,total,fp_count,fp_rate,ci_lower,ci_upper
wholesale,36,21,0.5833333333333334,0.422,0.729
hospital,21,4,0.19047619047619047,0.077,0.4
commercial,18,3,0.16666666666666666,0.058,0.392
industrial,20,2,0.1,0.028,0.301
sports_centre,24,2,0.08333333333333333,0.023,0.258
parking,16,1,0.0625,0.011,0.283
park,20,1,0.05,0.009,0.236
supermarket,23,1,0.043478260869565216,0.008,0.21
hotel,20,0,0.0,0.0,0.161
factory,12,0,0.0,0.0,0.243
fuel,17,0,0.0,0.0,0.184
retail_large,27,0,0.0,0.0,0.125
restaurant,20,0,0.0,0.0,0.161
playground,10,0,0.0,0.0,0.278
school,21,0,0.0,0.0,0.155
