model,val_pr_auc,val_recall,val_precision,val_wh_f1,val_non_wh_f1,val_macro_f1,val_T,val_ece_before,val_ece_after
YOLO Spatial density_v2,0.9885,0.9683,0.9397,0.9537,0.8706,0.9122,2.5157,0.0485,0.0164
YOLO Run2 density_v2,0.9883,0.9584,0.9494,0.9538,0.8709,0.9124,2.0967,0.0455,0.0199
YOLO Run2+LS density_v2,0.9883,0.9584,0.9494,0.9538,0.8709,0.9124,2.0967,0.0455,0.0199
YOLO Run1 density_v2,0.9863,0.9429,0.9486,0.9457,0.8525,0.8991,1.824,0.0431,0.018
YOLO Spatial baseline_global,0.9841,0.9569,0.939,0.9478,0.8571,0.9025,3.0738,0.0622,0.0188
YOLO Run1 baseline_global,0.9838,0.9608,0.9384,0.9495,0.8547,0.9021,3.8494,0.0535,0.0242
YOLO Run2 baseline_global,0.9801,0.937,0.9392,0.9381,0.8306,0.8844,3.14,0.0626,0.0194
YOLO Run2+LS baseline_global,0.9801,0.937,0.9392,0.9381,0.8306,0.8844,3.14,0.0626,0.0194
ResNet baseline_global,0.9736,0.9572,0.8703,0.9117,0.7045,0.8081,1.0637,0.0478,0.0449
ResNet density_v2,0.973,0.8823,0.9298,0.9054,0.7634,0.8344,0.9203,0.0566,0.0542
