city,n_candidates,n_true_wh,mean_score,median_score,n_core,n_secondary,known_wh_density,model_opportunity_score
Akron,3,3,0.9987787278427839,0.9995416396666835,3,0,1.0,2.996
Albuquerque,2,2,0.8232768270147232,0.8232768270147232,2,0,1.0,1.647
Alexandria,3,3,0.9705604145146752,0.9865201670042316,3,0,1.0,2.912
Allentown,7,7,0.9606819571039676,0.9967279978115363,7,0,1.0,6.725
Alton,1,1,0.9352824038238281,0.9352824038238281,1,0,1.0,0.935
Anchorage,1,1,0.9887455436732305,0.9887455436732305,1,0,1.0,0.989
Annapolis,1,1,0.9995416396666835,0.9995416396666835,1,0,1.0,1.0
Appleton,1,1,0.9995416396666835,0.9995416396666835,1,0,1.0,1.0
Arlington,8,8,0.998986248902178,0.9995416396666835,8,0,1.0,7.992
Asheville,1,1,0.9901459298530966,0.9901459298530966,1,0,1.0,0.99
Athens,3,3,0.9990387441469939,0.9993064557252097,3,0,1.0,2.997
Atlanta,11,11,0.8977682894037965,0.9993064557252097,10,0,1.0,8.978
Atlantic City,1,1,0.9889663248805836,0.9889663248805836,1,0,1.0,0.989
Augusta,3,3,0.8869387151725977,0.9522535495501832,3,0,1.0,2.661
Aurora,13,13,0.9815357918443808,0.9985068793661201,13,0,1.0,12.76
Austin,1,1,0.9995416396666835,0.9995416396666835,1,0,1.0,1.0
Bakersfield,1,1,0.8344791779661767,0.8344791779661767,1,0,1.0,0.834
Baltimore,4,4,0.9551062392077461,0.9921612630738481,4,0,1.0,3.82
Bangor,1,1,0.9995416396666835,0.9995416396666835,1,0,1.0,1.0
Barlett,3,3,0.9934293079750701,0.9951129726801133,3,0,1.0,2.98
Baton Rouge,3,3,0.9134855510978676,0.9813131612463212,3,0,1.0,2.74
Battle Creek,1,1,0.9731001942723448,0.9731001942723448,1,0,1.0,0.973
Baytown,2,2,0.8191208512037758,0.8191208512037758,2,0,1.0,1.638
Bellingham,8,8,0.9279061258697663,0.9968240890139185,8,0,1.0,7.423
Berkeley,3,0,0.15657089409852107,0.057490058703083324,1,0,0.0,0.157
Billings,1,1,0.9818058345640136,0.9818058345640136,1,0,1.0,0.982
Birmingham,5,5,0.955716522664607,0.9961306783604134,5,0,1.0,4.779
Bloomington,1,1,0.9133124185331252,0.9133124185331252,1,0,1.0,0.913
Boise,1,1,0.46550552099937115,0.46550552099937115,1,0,1.0,0.466
Boston,4,4,0.7841968923609693,0.9912774419522641,3,0,1.0,2.353
Boulder,1,1,0.9995416396666835,0.9995416396666835,1,0,1.0,1.0
Bowling Green,1,1,0.9995416396666835,0.9995416396666835,1,0,1.0,1.0
Brownsville,1,1,0.997826723341762,0.997826723341762,1,0,1.0,0.998
Buffalo,1,1,0.9466701721288202,0.9466701721288202,1,0,1.0,0.947
Burlington,13,10,0.8705963404081876,0.9379963697981769,12,0,0.7692,10.447
Caldwell,3,3,0.9924776285524745,0.9980777090093198,3,0,1.0,2.977
Carson City,2,2,0.9488666565820425,0.9488666565820425,2,0,1.0,1.898
Cedar Rapids,1,1,0.9635254368277627,0.9635254368277627,1,0,1.0,0.964
Charleston,2,2,0.9956660241569888,0.9956660241569888,2,0,1.0,1.991
Charlotte,30,10,0.4047127511525354,0.21177567268415826,16,0,0.3333,6.475
Charlottesville,2,2,0.9968973324914648,0.9968973324914648,2,0,1.0,1.994
Chattanooga,2,2,0.9251274862660007,0.9251274862660007,2,0,1.0,1.85
Chicago,9,9,0.8807578773189921,0.9978743103443599,9,0,1.0,7.927
Cincinnati,6,6,0.9468456981697483,0.9877404898333058,6,0,1.0,5.681
Clarksville,1,1,0.9995416396666835,0.9995416396666835,1,0,1.0,1.0
Cleveland,4,4,0.704102511616742,0.8106196301631763,4,0,1.0,2.816
Columbia,4,4,0.916621061543599,0.9588830809804273,4,0,1.0,3.666
