landuse,name,lat,lon,city_found,sample_method,ele,gnis:feature_id,residential,addr:state,old_name,source,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,barrier,operator,alt_name,description,website,phone,disused,social_facility,social_facility:for,wheelchair,fixme,addr:county,brand,brand:wikidata,building,building:levels,source:url
residential,Avana Orenco Station,45.5356302,-122.9099633,Hillsboro,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,Cortland Village,45.5370351,-122.9077621,Hillsboro,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,Dawson Downs,45.5359471,-122.9229912,Hillsboro,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,38.3513085,-97.2120279,Hillsboro,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,38.3362587,-97.2084229,Hillsboro,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,33.5806931,-86.5235122,Moody,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,33.5843631,-86.4636493,Moody,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,40.2754958,-96.7366014,Beatrice,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,40.2730634,-96.7208354,Beatrice,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,40.2625034,-96.7369541,Beatrice,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,40.2637599,-96.7241849,Beatrice,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,40.2675481,-96.7704044,Beatrice,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,Lugonia Homes,34.0711242,-117.181427,STATE_WIDE,fallback,419,1839597,apartments,,,,,,,,,,,,,,,,,,,,,,,,,
residential,Glen Mor,33.9778973,-117.320084,STATE_WIDE,fallback,343,2455542,apartments,CA,Arroyo Student Housing Building,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,
residential,Pentland Hills,33.9777824,-117.322648,STATE_WIDE,fallback,330,2455562,apartments,CA,,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,
residential,Regency Nursing Home,35.1505225,-119.4670636,STATE_WIDE,fallback,299,1839313,,CA,,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,
residential,Good Shepherd Lutheran Home for the Retarded,35.9838417,-118.9984337,STATE_WIDE,fallback,164,1835757,,CA,,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,
residential,Hathaway Home for Children,34.1208417,-118.1722941,STATE_WIDE,fallback,203,1744890,,CA,,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,
